"Locality","Year","TotalPoundsDistributed"
"Accomack County",2019,1248586
"Accomack County",2020,582136
"Albemarle County",2019,2079115.91
"Albemarle County",2020,2592132.03
"Albemarle County",2021,1263395.72
"Alexandria City",2019,1047479.30049361
"Alexandria City",2020,1807831.06912177
"Alexandria City",2021,974206.578726249
"Alleghany County",2019,312425.78
"Alleghany County",2020,356269.41
"Alleghany County",2021,240441.08
"Amelia County",2019,123632
"Amelia County",2020,103173
"Amelia County",2021,55380
"Amherst County",2019,1307267.61
"Amherst County",2020,1260881.04
"Amherst County",2021,511384.84
"Appomattox County",2019,395305.02
"Appomattox County",2020,423371.62
"Appomattox County",2021,188539.68
"Arlington County",2019,429528.473852466
"Arlington County",2020,562344.185630609
"Arlington County",2021,543464.266737279
"Augusta County",2019,3517781.36
"Augusta County",2020,2789716.46
"Augusta County",2021,940714.67
"BEDFORD COUNTY",2019,241472.97
"BEDFORD COUNTY",2020,278872.18
"BEDFORD COUNTY",2021,209554.36
"Bath County",2019,184092.78
"Bath County",2020,213409.17
"Bath County",2021,103088.31
"Bedford County",2019,975567.37
"Bedford County",2020,1041638.42
"Bedford County",2021,622351.61
"Bland County",2019,258595.69
"Bland County",2020,254683.23
"Bland County",2021,449322.89
"Botetourt County",2019,140216.73
"Botetourt County",2020,160191.5
"Botetourt County",2021,93779.7
"Bristol City",2019,66694.5
"Bristol City",2020,187687
"Bristol City",2021,35656
"Brunswick County",2019,143333
"Brunswick County",2020,391174
"Brunswick County",2021,157490
"Buchanan County",2019,974510.61
"Buchanan County",2020,1169266.47
"Buchanan County",2021,770936.34
"Buckingham County",2019,445059.36
"Buckingham County",2020,482873.83
"Buckingham County",2021,205304.99
"Buena Vista City",2019,342565.75
"Buena Vista City",2020,397578.55
"Buena Vista City",2021,261180.11
"CLARKE COUNTY",2019,144931.88
"CLARKE COUNTY",2020,81325
"CLARKE COUNTY",2021,44350.33
"Campbell County",2019,1094286.44
"Campbell County",2020,1296895.18
"Campbell County",2021,635533.08
"Caroline County",2019,366516
"Caroline County",2020,137996.74
"Carroll County",2019,155303.12
"Carroll County",2020,177579.34
"Carroll County",2021,92313.65
"Charles City County",2019,293653
"Charles City County",2020,289530
"Charles City County",2021,253256
"Charlotte County",2019,0
"Charlotte County",2020,53563
"Charlotte County",2021,97186
"Charlottesville City",2019,531709.43
"Charlottesville City",2020,615860.49
"Charlottesville City",2021,240365.52
"Chesapeake City",2019,2827769
"Chesapeake City",2020,1174113
"Chesterfield County",2019,3192148
"Chesterfield County",2020,5933440
"Chesterfield County",2021,4527458
"Colonial Heights City",2019,577885
"Colonial Heights City",2020,535156
"Colonial Heights City",2021,229342
"Covington City",2019,351606.26
"Covington City",2020,438426.36
"Covington City",2021,217299.47
"Craig County",2019,79533.5
"Craig County",2020,65304.4
"Craig County",2021,53833.5
"Culpeper County",2019,1291425.91
"Culpeper County",2020,1189020.8
"Culpeper County",2021,304149.12
"Cumberland County",2019,566750
"Cumberland County",2020,610162
"Cumberland County",2021,320448
"Danville City",2019,1555627
"Danville City",2020,1467117.49
"Danville City",2021,1261167.27
"Dickenson County",2019,520498.44
"Dickenson County",2020,353212.54
"Dickenson County",2021,177436.21
"Dinwiddie County",2019,32048
"Dinwiddie County",2020,46810
"Dinwiddie County",2021,14567
"Emporia City",2019,218885
"Emporia City",2020,287596
"Emporia City",2021,112101
"Essex County",2019,1219822
"Essex County",2020,789497
"Essex County",2021,129891
"Fairfax County",2019,6878383.48959741
"Fairfax County",2020,14072583.4969466
"Fairfax County",2021,8427223.36012423
"Fauquier County",2019,1222226.78
"Fauquier County",2020,976426.73
"Fauquier County",2021,236835.53
"Floyd County",2019,160950.93
"Floyd County",2020,190309.16
"Floyd County",2021,101283.55
"Fluvanna County",2019,306853.24
"Fluvanna County",2020,377557.45
"Fluvanna County",2021,159418.39
"Franklin City",2019,385108
"Franklin City",2020,484545
"Franklin County",2019,526595.5
"Franklin County",2020,589145.47
"Franklin County",2021,348716.22
"Frederick County",2019,631817.62
"Frederick County",2020,685657.2
"Frederick County",2021,248457.44
"Fredericksburg City",2019,675707
"Fredericksburg City",2020,280313.94
"Galax City",2019,214706.89
"Galax City",2020,139521.11
"Galax City",2021,113703.28
"Giles County",2019,145397
"Giles County",2020,172786
"Giles County",2021,105633
"Gloucester County",2019,1304830
"Gloucester County",2020,543133
"Goochland County",2019,473730
"Goochland County",2020,873185
"Goochland County",2021,558987
"Grayson County",2019,239289.13
"Grayson County",2020,476188.77
"Grayson County",2021,400011.13
"Greene County",2019,459305.86
"Greene County",2020,813080.27
"Greene County",2021,381265.14
"Greensville County",2019,1579015
"Greensville County",2020,2020766
"Greensville County",2021,2438859
"Halifax County",2019,255447
"Halifax County",2020,267912
"Halifax County",2021,120578
"Hampton City",2019,3145706
"Hampton City",2020,1838267
"Hanover County",2019,939917
"Hanover County",2020,456315
"Hanover County",2021,1986
"Harrisonburg City",2019,1786095.9
"Harrisonburg City",2020,2148258.81
"Harrisonburg City",2021,974627.24
